Üniversite,Program Adı Öğretim Süresi,Şehir,2021,Bölüm
AFYON KOCATEPE ÜNİVERSİTESİ Sandıklı Uygulamalı Bilimler Yüksekokulu Akademik Kadro,Çocuk Gelişimi (Yüksekokul) (4 Yıllık),AFYONKARAHİSAR,340480,EA
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Sosyoloji (4 Yıllık),ANKARA,340674,EA
GAZİANTEP ÜNİVERSİTESİ Havacılık ve Uzay Bilimleri Fakültesi Akademik Kadro,Havacılık Yönetimi (Fakülte) (İngilizce) (4 Yıllık),GAZİANTEP,341429,EA
YILDIZ TEKNİK ÜNİVERSİTESİ Mimarlık Fakültesi Akademik Kadro,Kültür Varlıklarını Koruma ve Onarım (Fakülte) (4 Yıllık),İSTANBUL,343115,EA
SELÇUK ÜNİVERSİTESİ Beyşehir Ali Akkanat İşletme Fakültesi Akademik Kadro,Yönetim Bilişim Sistemleri (Fakülte) (4 Yıllık),KONYA,343554,EA
DOKUZ EYLÜL ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İktisat (4 Yıllık),İZMİR,343569,EA
EGE ÜNİVERSİTESİ Ziraat Fakültesi Akademik Kadro,Tarım Ekonomisi (4 Yıllık),İZMİR,344213,EA
EGE ÜNİVERSİTESİ Moda ve Tasarım Yüksekokulu Akademik Kadro,Moda Tasarımı (Yüksekokul) (4 Yıllık),İZMİR,344279,EA
BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Yönetim Bilişim Sistemleri (Fakülte) (4 Yıllık),BİLECİK,346208,EA
MERSİN ÜNİVERSİTESİ Erdemli Uygulamalı Teknoloji ve İşletmecilik Yüksekokulu Akademik Kadro,Yönetim Bilişim Sistemleri (Yüksekokul) (4 Yıllık),MERSİN,346846,EA
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Uluslararası İlişkiler (İÖ) (4 Yıllık),ESKİŞEHİR,348739,EA
YALOVA ÜNİVERSİTESİ Sanat ve Tasarım Fakültesi Akademik Kadro,Grafik Tasarımı (4 Yıllık),YALOVA,349393,EA
ANADOLU ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Maliye (4 Yıllık),ESKİŞEHİR,350579,EA
GEBZE TEKNİK ÜNİVERSİTESİ İşletme Fakültesi Akademik Kadro,İktisat (4 Yıllık),KOCAELİ,351031,EA
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ Gazipaşa Havacılık ve Uzay Bilimleri Fakültesi Akademik Kadro,Havacılık Yönetimi (Fakülte) (4 Yıllık),ANTALYA,351239,EA
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Siyaset Bilimi ve Kamu Yönetimi (İngilizce) (4 Yıllık),İZMİR,351421,EA
NECMETTİN ERBAKAN ÜNİVERSİTESİ Havacılık ve Uzay Bilimleri Fakültesi Akademik Kadro,Havacılık Yönetimi (Fakülte) (4 Yıllık),KONYA,351851,EA
BURSA ULUDAĞ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Sosyoloji (4 Yıllık),BURSA,352033,EA
SÜLEYMAN DEMİREL ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Sosyal Hizmet (Fakülte) (4 Yıllık),ISPARTA,352700,EA
EGE ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İktisat (İÖ) (4 Yıllık),İZMİR,354111,EA
İSTANBUL ÜNİVERSİTESİ İktisat Fakültesi Akademik Kadro,Turizm İşletmeciliği (Fakülte) (4 Yıllık),İSTANBUL,354187,EA
GAZİ ÜNİVERSİTESİ Spor Bilimleri Fakültesi Akademik Kadro,Spor Yöneticiliği (Fakülte) (4 Yıllık),ANKARA,357710,EA
AKDENİZ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Uluslararası İlişkiler (İÖ) (4 Yıllık),ANTALYA,357996,EA
SİVAS CUMHURİYET ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Yönetim Bilişim Sistemleri (Fakülte) (4 Yıllık),SİVAS,358606,EA
MANİSA CELÂL BAYAR ÜNİVERSİTESİ Sağlık Bilimleri Fakültesi Akademik Kadro,Sosyal Hizmet (Fakülte) (4 Yıllık),MANİSA,360352,EA
AKDENİZ ÜNİVERSİTESİ Uygulamalı Bilimler Fakültesi Akademik Kadro,Uluslararası Ticaret ve Lojistik (Fakülte) (İÖ) (4 Yıllık),ANTALYA,360407,EA
HACETTEPE ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Arkeoloji (4 Yıllık),ANKARA,362449,EA
NECMETTİN ERBAKAN ÜNİVERSİTESİ Uygulamalı Bilimler Fakültesi Akademik Kadro,Yönetim Bilişim Sistemleri (Fakülte) (İÖ) (4 Yıllık),KONYA,362949,EA
ÇANKIRI KARATEKİN ÜNİVERSİTESİ Sağlık Bilimleri Fakültesi Akademik Kadro,Çocuk Gelişimi (Fakülte) (4 Yıllık),ÇANKIRI,364335,EA
DOKUZ EYLÜL ÜNİVERSİTESİ İşletme Fakültesi Akademik Kadro,Turizm İşletmeciliği (Fakülte) (İngilizce) (4 Yıllık),İZMİR,364358,EA
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İktisat (İngilizce) (4 Yıllık),İZMİR,364597,EA
ÇUKUROVA ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İktisat (İngilizce) (4 Yıllık),ADANA,364638,EA
DOKUZ EYLÜL ÜNİVERSİTESİ Uygulamalı Bilimler Yüksekokulu Akademik Kadro,Uluslararası Ticaret (Yüksekokul) (4 Yıllık),İZMİR,364934,EA
KOCAELİ ÜNİVERSİTESİ Spor Bilimleri Fakültesi Akademik Kadro,Antrenörlük Eğitimi (Fakülte) (4 Yıllık),KOCAELİ,365057,EA
MUNZUR ÜNİVERSİTESİ Sağlık Bilimleri Fakültesi Akademik Kadro,Çocuk Gelişimi (Fakülte) (4 Yıllık),TUNCELİ,365652,EA
YOZGAT BOZOK ÜNİVERSİTESİ Sağlık Bilimleri Fakültesi Akademik Kadro,Çocuk Gelişimi (Fakülte) (4 Yıllık),YOZGAT,366087,EA
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ Hamidiye Sağlık Bilimleri Fakültesi Akademik Kadro,Sağlık Yönetimi (Fakülte) (4 Yıllık),İSTANBUL,367257,EA
AKDENİZ ÜNİVERSİTESİ Ziraat Fakültesi Akademik Kadro,Tarım Ekonomisi (4 Yıllık),ANTALYA,368303,EA
İSTANBUL MEDENİYET ÜNİVERSİTESİ Sağlık Bilimleri Fakültesi Akademik Kadro,Sağlık Yönetimi (Fakülte) (4 Yıllık),İSTANBUL,371210,EA
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ Siyasal Bilgiler Fakültesi Akademik Kadro,Siyaset Bilimi ve Kamu Yönetimi (4 Yıllık),ÇANAKKALE,371499,EA
KOCAELİ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Uluslararası İlişkiler (4 Yıllık),KOCAELİ,371676,EA
SAKARYA ÜNİVERSİTESİ Siyasal Bilgiler Fakültesi Akademik Kadro,Siyaset Bilimi ve Kamu Yönetimi (4 Yıllık),SAKARYA,372358,EA
AKDENİZ ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Sosyoloji (4 Yıllık),ANTALYA,373109,EA
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ Sağlık Bilimleri Fakültesi Akademik Kadro,Sağlık Yönetimi (Fakülte) (4 Yıllık),ESKİŞEHİR,380895,EA
BURSA ULUDAĞ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İşletme (4 Yıllık),BURSA,381272,EA
BALIKESİR ÜNİVERSİTESİ Edremit Sivil Havacılık Yüksekokulu Akademik Kadro,Havacılık Yönetimi (Yüksekokul) (4 Yıllık),BALIKESİR,381733,EA
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ Sağlık Bilimleri Fakültesi Akademik Kadro,Sosyal Hizmet (Fakülte) (4 Yıllık),BALIKESİR,382810,EA
MARMARA ÜNİVERSİTESİ Bankacılık ve Sigortacılık Yüksekokulu Akademik Kadro,Sigortacılık (Yüksekokul) (4 Yıllık),İSTANBUL,384565,EA
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İşletme (4 Yıllık),ESKİŞEHİR,384593,EA
MANİSA CELÂL BAYAR ÜNİVERSİTESİ İşletme Fakültesi Akademik Kadro,İşletme (İngilizce) (4 Yıllık),MANİSA,384670,EA
ANADOLU ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İktisat (4 Yıllık),ESKİŞEHİR,389150,EA
KOCAELİ ÜNİVERSİTESİ Denizcilik Fakültesi Akademik Kadro,Denizcilik İşletmeleri Yönetimi (4 Yıllık),KOCAELİ,389690,EA
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ İnsan ve Toplum Bilimleri Fakültesi Akademik Kadro,Sosyoloji (4 Yıllık),ANKARA,391110,EA
ONDOKUZ MAYIS ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Uluslararası Ticaret ve Lojistik (Fakülte) (4 Yıllık),SAMSUN,391621,EA
ATATÜRK ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Yönetim Bilişim Sistemleri (Fakülte) (4 Yıllık),ERZURUM,392666,EA
AKDENİZ ÜNİVERSİTESİ Kemer Denizcilik Fakültesi Akademik Kadro,Denizcilik İşletmeleri Yönetimi (4 Yıllık),ANTALYA,393097,EA
KIRIKKALE ÜNİVERSİTESİ Sağlık Bilimleri Fakültesi Akademik Kadro,Sosyal Hizmet (Fakülte) (4 Yıllık),KIRIKKALE,393490,EA
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Maliye (4 Yıllık),ESKİŞEHİR,393921,EA
YALOVA ÜNİVERSİTESİ Yalova İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Uluslararası İlişkiler (İngilizce) (4 Yıllık),YALOVA,394564,EA
MARMARA ÜNİVERSİTESİ Bankacılık ve Sigortacılık Yüksekokulu Akademik Kadro,Sermaye Piyasası (Yüksekokul) (4 Yıllık),İSTANBUL,394626,EA
AKDENİZ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Maliye (4 Yıllık),ANTALYA,395358,EA
MARMARA ÜNİVERSİTESİ Siyasal Bilgiler Fakültesi Akademik Kadro,Yerel Yönetimler (4 Yıllık),İSTANBUL,395721,EA
MERSİN ÜNİVERSİTESİ Silifke Uygulamalı Teknoloji ve İşletmecilik Yüksekokulu Akademik Kadro,Yönetim Bilişim Sistemleri (Yüksekokul) (4 Yıllık),MERSİN,395867,EA
ONDOKUZ MAYIS ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İktisat (İngilizce) (4 Yıllık),SAMSUN,397169,EA
BURSA ULUDAĞ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Uluslararası İlişkiler (İÖ) (4 Yıllık),BURSA,399144,EA
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ Seydikemer Uygulamalı Bilimler Yüksekokulu Akademik Kadro,Sosyal Hizmet (Yüksekokul) (4 Yıllık),MUĞLA,402610,EA
MANİSA CELÂL BAYAR ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Siyaset Bilimi ve Uluslararası İlişkiler (İngilizce) (4 Yıllık),MANİSA,403406,EA
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ Sağlık Bilimleri Fakültesi Akademik Kadro,Sağlık Yönetimi (Fakülte) (4 Yıllık),ANKARA,403724,EA
TARSUS ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Yönetim Bilişim Sistemleri (Fakülte) (4 Yıllık),MERSİN,404652,EA
NECMETTİN ERBAKAN ÜNİVERSİTESİ Nezahat Keleşoğlu Sağlık Bilimleri Fakültesi Akademik Kadro,Sosyal Hizmet (Fakülte) (4 Yıllık),KONYA,405053,EA
ONDOKUZ MAYIS ÜNİVERSİTESİ Sağlık Bilimleri Fakültesi Akademik Kadro,Sağlık Yönetimi (Fakülte) (4 Yıllık),SAMSUN,405594,EA
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Sosyal Hizmet (Fakülte) (4 Yıllık),KAHRAMANMARAŞ,406029,EA
YALOVA ÜNİVERSİTESİ İnsan ve Toplum Bilimleri Fakültesi Akademik Kadro,Sosyal Hizmet (Fakülte) (4 Yıllık),YALOVA,406305,EA
ERCİYES ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Siyaset Bilimi ve Kamu Yönetimi (4 Yıllık),KAYSERİ,408549,EA
BARTIN ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Yönetim Bilişim Sistemleri (Fakülte) (İÖ) (4 Yıllık),BARTIN,408582,EA
AKDENİZ ÜNİVERSİTESİ Spor Bilimleri Fakültesi Akademik Kadro,Spor Yöneticiliği (Fakülte) (4 Yıllık),ANTALYA,409564,EA
İSTANBUL ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Klasik Arkeoloji (4 Yıllık),İSTANBUL,409793,EA
ANKARA ÜNİVERSİTESİ Dil ve Tarih Coğrafya Fakültesi Akademik Kadro,Bilgi ve Belge Yönetimi (4 Yıllık),ANKARA,411082,EA
SİVAS CUMHURİYET ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Sosyal Hizmet (Fakülte) (4 Yıllık),SİVAS,413059,EA
BURSA ULUDAĞ ÜNİVERSİTESİ Ziraat Fakültesi Akademik Kadro,Tarım Ekonomisi (4 Yıllık),BURSA,413127,EA
AKDENİZ ÜNİVERSİTESİ Uygulamalı Bilimler Fakültesi Akademik Kadro,Finans ve Bankacılık (Fakülte) (4 Yıllık),ANTALYA,413441,EA
İSTANBUL TEKNİK ÜNİVERSİTESİ İTÜ-KKTC Eğitim Araştırma Yerleşkesi (Gazimağusa) Akademik Kadro,Ekonomi ve Finans (İngilizce) (Burslu) (4 Yıllık),İSTANBUL,414867,EA
BURSA ULUDAĞ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Maliye (4 Yıllık),BURSA,415167,EA
GAZİANTEP ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Siyaset Bilimi ve Kamu Yönetimi (4 Yıllık),GAZİANTEP,416061,EA
DOKUZ EYLÜL ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İşletme (İÖ) (4 Yıllık),İZMİR,416842,EA
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ Fen ve Edebiyat Fakültesi Akademik Kadro,Sosyoloji (4 Yıllık),ÇANAKKALE,417136,EA
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ Sanat ve Tasarım Fakültesi Akademik Kadro,Moda Tasarımı (Fakülte) (4 Yıllık),ANKARA,417337,EA
KOCAELİ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İşletme (4 Yıllık),KOCAELİ,418388,EA
AKDENİZ ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Turizm İşletmeciliği (Fakülte) (4 Yıllık),ANTALYA,418434,EA
İZMİR DEMOKRASİ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Siyaset Bilimi ve Kamu Yönetimi (İngilizce) (4 Yıllık),İZMİR,421128,EA
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Çalışma Ekonomisi ve Endüstri İlişkileri (4 Yıllık),ANKARA,421662,EA
SELÇUK ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Siyaset Bilimi ve Kamu Yönetimi (4 Yıllık),KONYA,422161,EA
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İşletme (4 Yıllık),İZMİR,422262,EA
AKDENİZ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İktisat (4 Yıllık),ANTALYA,422521,EA
ONDOKUZ MAYIS ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Sosyoloji (4 Yıllık),SAMSUN,422701,EA
İSTANBUL ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Bilgi ve Belge Yönetimi (4 Yıllık),İSTANBUL,422900,EA
BURSA TEKNİK ÜNİVERSİTESİ İnsan ve Toplum Bilimleri Fakültesi Akademik Kadro,Uluslararası İlişkiler (4 Yıllık),BURSA,424058,EA
AKSARAY ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Yönetim Bilişim Sistemleri (Fakülte) (4 Yıllık),AKSARAY,424936,EA
ESKİŞEHİR TEKNİK ÜNİVERSİTESİ Spor Bilimleri Fakültesi Akademik Kadro,Spor Yöneticiliği (Fakülte) (4 Yıllık),ESKİŞEHİR,426471,EA
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Siyaset Bilimi ve Kamu Yönetimi (İÖ) (4 Yıllık),ESKİŞEHİR,426883,EA
KIRKLARELİ ÜNİVERSİTESİ Sağlık Bilimleri Fakültesi Akademik Kadro,Çocuk Gelişimi (Fakülte) (İÖ) (4 Yıllık),KIRKLARELİ,427197,EA
SAKARYA ÜNİVERSİTESİ İşletme Fakültesi Akademik Kadro,Uluslararası Ticaret ve Finansman (4 Yıllık),SAKARYA,427542,EA
BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Yönetim Bilişim Sistemleri (Fakülte) (İÖ) (4 Yıllık),BİLECİK,428026,EA
İSTANBUL TEKNİK ÜNİVERSİTESİ İTÜ-KKTC Eğitim Araştırma Yerleşkesi (Gazimağusa) Akademik Kadro,Denizcilik İşletmeleri Yönetimi (İngilizce) (Burslu) (4 Yıllık),İSTANBUL,428092,EA
ÇUKUROVA ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İşletme (4 Yıllık),ADANA,428179,EA
İSTANBUL MEDENİYET ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Felsefe (4 Yıllık),İSTANBUL,428915,EA
İSTANBUL MEDENİYET ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Turizm İşletmeciliği (Fakülte) (4 Yıllık),İSTANBUL,433559,EA
SELÇUK ÜNİVERSİTESİ Sivil Havacılık Yüksekokulu Akademik Kadro,Havacılık Yönetimi (Yüksekokul) (4 Yıllık),KONYA,433613,EA
KOCAELİ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İktisat (4 Yıllık),KOCAELİ,434153,EA
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ Fethiye İşletme Fakültesi Akademik Kadro,Uluslararası Ticaret ve Lojistik (Fakülte) (4 Yıllık),MUĞLA,434303,EA
İSTANBUL ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Antropoloji (4 Yıllık),İSTANBUL,435084,EA
DOKUZ EYLÜL ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Çalışma Ekonomisi ve Endüstri İlişkileri (4 Yıllık),İZMİR,435206,EA
ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ Sağlık Bilimleri Fakültesi Akademik Kadro,Sosyal Hizmet (Fakülte) (4 Yıllık),ZONGULDAK,435581,EA
SAKARYA ÜNİVERSİTESİ Siyasal Bilgiler Fakültesi Akademik Kadro,Uluslararası İlişkiler (4 Yıllık),SAKARYA,437797,EA
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ Sanat ve Tasarım Fakültesi Akademik Kadro,Grafik Tasarımı (M.T.O.K.) (M.T.O.K.) (4 Yıllık),ANKARA,440138,EA
SAMSUN ÜNİVERSİTESİ Sivil Havacılık Yüksekokulu Akademik Kadro,Havacılık Yönetimi (Yüksekokul) (4 Yıllık),SAMSUN,440421,EA
EGE ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Felsefe (4 Yıllık),İZMİR,441187,EA
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Sağlık Yönetimi (Fakülte) (4 Yıllık),ANKARA,441381,EA
PAMUKKALE ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Siyaset Bilimi ve Kamu Yönetimi (4 Yıllık),DENİZLİ,442681,EA
SÜLEYMAN DEMİREL ÜNİVERSİTESİ Sivil Havacılık Yüksekokulu (Keçiborlu) Akademik Kadro,Havacılık Yönetimi (Yüksekokul) (4 Yıllık),ISPARTA,442752,EA
AYDIN ADNAN MENDERES ÜNİVERSİTESİ Aydın İktisat Fakültesi Akademik Kadro,Uluslararası İlişkiler (İngilizce) (İÖ) (4 Yıllık),AYDIN,442802,EA
ÇUKUROVA ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Maliye (4 Yıllık),ADANA,443368,EA
MARMARA ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Bilgi ve Belge Yönetimi (4 Yıllık),İSTANBUL,446734,EA
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İktisat (4 Yıllık),ESKİŞEHİR,447286,EA
ERCİYES ÜNİVERSİTESİ Havacılık ve Uzay Bilimleri Fakültesi Akademik Kadro,Havacılık Yönetimi (Fakülte) (İÖ) (4 Yıllık),KAYSERİ,448090,EA
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ Gölhisar Uygulamalı Bilimler Yüksekokulu Akademik Kadro,Tapu Kadastro (4 Yıllık),BURDUR,448259,EA
DOKUZ EYLÜL ÜNİVERSİTESİ İşletme Fakültesi Akademik Kadro,İşletme (İngilizce) (UOLP-New York Eyalet Üniversitesi (SUNY Albany)) (Ücretli) (4 Yıllık),İZMİR,449342,EA
ÇUKUROVA ÜNİVERSİTESİ Ziraat Fakültesi Akademik Kadro,Tarım Ekonomisi (4 Yıllık),ADANA,449624,EA
UŞAK ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Sosyal Hizmet (Fakülte) (4 Yıllık),UŞAK,450081,EA
İSTANBUL ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Kültür Varlıklarını Koruma ve Onarım (Fakülte) (4 Yıllık),İSTANBUL,450605,EA
AKDENİZ ÜNİVERSİTESİ Ziraat Fakültesi Akademik Kadro,Tarım Ekonomisi (KKTC Uyruklu) (4 Yıllık),ANTALYA,450848,EA
AKDENİZ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Siyaset Bilimi ve Kamu Yönetimi (İÖ) (4 Yıllık),ANTALYA,451626,EA
İZMİR DEMOKRASİ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İşletme (4 Yıllık),İZMİR,451973,EA
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ Sağlık Bilimleri Fakültesi Akademik Kadro,Sağlık Yönetimi (Fakülte) (4 Yıllık),MUĞLA,452643,EA
DÜZCE ÜNİVERSİTESİ Sağlık Bilimleri Fakültesi Akademik Kadro,Sosyal Hizmet (Fakülte) (4 Yıllık),DÜZCE,453082,EA
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ Çanakkale Uygulamalı Bilimler Fakültesi Akademik Kadro,Sağlık Yönetimi (Fakülte) (4 Yıllık),ÇANAKKALE,454811,EA
FIRAT ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Sosyal Hizmet (Fakülte) (4 Yıllık),ELAZIĞ,455050,EA
HATAY MUSTAFA KEMAL ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Yönetim Bilişim Sistemleri (Fakülte) (4 Yıllık),HATAY,455657,EA
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ Bankacılık ve Sigortacılık Yüksekokulu Akademik Kadro,Finans ve Bankacılık (Yüksekokul) (4 Yıllık),ANKARA,456949,EA
MARMARA ÜNİVERSİTESİ Uygulamalı Bilimler Yüksekokulu Akademik Kadro,Kuyumculuk ve Mücevher Tasarımı (Yüksekokul) (4 Yıllık),İSTANBUL,457260,EA
MERSİN ÜNİVERSİTESİ Denizcilik Fakültesi Akademik Kadro,Denizcilik İşletmeleri Yönetimi (4 Yıllık),MERSİN,458959,EA
BALIKESİR ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Uluslararası Ticaret ve Lojistik (Fakülte) (4 Yıllık),BALIKESİR,459837,EA
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Turizm İşletmeciliği (Fakülte) (İngilizce) (4 Yıllık),İZMİR,460314,EA
SAKARYA ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Sosyal Hizmet (Fakülte) (İÖ) (4 Yıllık),SAKARYA,461189,EA
YALOVA ÜNİVERSİTESİ Yalova İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İşletme (İngilizce) (4 Yıllık),YALOVA,461683,EA
MALATYA TURGUT ÖZAL ÜNİVERSİTESİ Sosyal ve Beşeri Bilimler Fakültesi Akademik Kadro,Yönetim Bilişim Sistemleri (Fakülte) (4 Yıllık),MALATYA,461690,EA
ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ Ziraat Fakültesi Akademik Kadro,Tarım Ekonomisi (4 Yıllık),ISPARTA,462985,EA
ONDOKUZ MAYIS ÜNİVERSİTESİ Ziraat Fakültesi Akademik Kadro,Tarım Ekonomisi (4 Yıllık),SAMSUN,463079,EA
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Turizm İşletmeciliği (Fakülte) (İngilizce) (4 Yıllık),MUĞLA,463184,EA
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ Sosyal ve Beşeri Bilimler Fakültesi Akademik Kadro,Sosyoloji (4 Yıllık),İZMİR,463702,EA
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ Biga Uygulamalı Bilimler Fakültesi Akademik Kadro,Uluslararası Ticaret ve Lojistik (Fakülte) (4 Yıllık),ÇANAKKALE,464322,EA
ÇUKUROVA ÜNİVERSİTESİ Güzel Sanatlar Fakültesi Akademik Kadro,Grafik (4 Yıllık),ADANA,464920,EA
ESKİŞEHİR TEKNİK ÜNİVERSİTESİ Mimarlık ve Tasarım Fakültesi Akademik Kadro,Tekstil ve Moda Tasarımı (Fakülte) (4 Yıllık),ESKİŞEHİR,467445,EA
