Üniversite  ,Program Adı Öğretim Süresi,Şehir,2021,Bölüm
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ Mühendislik-Mimarlık Fakültesi  ,Endüstri Mühendisliği (4 Yıllık),ESKİŞEHİR,77288,SAY
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ Mühendislik ve Doğa Bilimleri Fakültesi  ,Makine Mühendisliği (İngilizce) (4 Yıllık),ANKARA,77537,SAY
HATAY MUSTAFA KEMAL ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),HATAY,77602,SAY
İSTANBUL TEKNİK ÜNİVERSİTESİ Denizcilik Fakültesi  ,Deniz Ulaştırma İşletme Mühendisliği (Fakülte) (4 Yıllık),İSTANBUL,77658,SAY
ERCİYES ÜNİVERSİTESİ Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (4 Yıllık),KAYSERİ,77847,SAY
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),ÇANAKKALE,77936,SAY
DOKUZ EYLÜL ÜNİVERSİTESİ Mühendislik Fakültesi  ,Makine Mühendisliği (4 Yıllık),İZMİR,77945,SAY
PAMUKKALE ÜNİVERSİTESİ Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (4 Yıllık),DENİZLİ,78382,SAY
KOCAELİ ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),KOCAELİ,78873,SAY
KONYA TEKNİK ÜNİVERSİTESİ Mühendislik ve Doğa Bilimleri Fakültesi  ,Bilgisayar Mühendisliği (4 Yıllık),KONYA,79103,SAY
ABDULLAH GÜL ÜNİVERSİTESİ Mühendislik Fakültesi  ,Elektrik-Elektronik Mühendisliği (İngilizce) (4 Yıllık),KAYSERİ,79152,SAY
FIRAT ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),ELAZIĞ,79346,SAY
İSTANBUL MEDENİYET ÜNİVERSİTESİ Mühendislik ve Doğa Bilimleri Fakültesi  ,Endüstri Mühendisliği (4 Yıllık),İSTANBUL,79628,SAY
ORTA DOĞU TEKNİK ÜNİVERSİTESİ Eğitim Fakültesi  ,Fizik Öğretmenliği (İngilizce) (4 Yıllık),ANKARA,79667,SAY
TÜRK-ALMAN ÜNİVERSİTESİ Fen Fakültesi  ,Enerji Bilimi ve Teknolojileri (Almanca) (4 Yıllık),İSTANBUL,79966,SAY
SÜLEYMAN DEMİREL ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),ISPARTA,80081,SAY
BALIKESİR ÜNİVERSİTESİ Necatibey Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),BALIKESİR,80249,SAY
SAKARYA ÜNİVERSİTESİ Mühendislik Fakültesi  ,Elektrik-Elektronik Mühendisliği (4 Yıllık),SAKARYA,80749,SAY
BALIKESİR ÜNİVERSİTESİ Veteriner Fakültesi  ,Veterinerlik (5 Yıllık),BALIKESİR,80878,SAY
İSTANBUL TEKNİK ÜNİVERSİTESİ İnşaat Fakültesi  ,Çevre Mühendisliği (4 Yıllık),İSTANBUL,80975,SAY
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),VAN,81130,SAY
YILDIZ TEKNİK ÜNİVERSİTESİ İnşaat Fakültesi  ,İnşaat Mühendisliği (İngilizce) (4 Yıllık),İSTANBUL,81206,SAY
İSTANBUL TEKNİK ÜNİVERSİTESİ Gemi İnşaatı ve Deniz Bilimleri Fakültesi  ,Gemi ve Deniz Teknolojisi Mühendisliği (4 Yıllık),İSTANBUL,81374,SAY
İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ Mühendislik Fakültesi  ,Biyomühendislik (İngilizce) (4 Yıllık),İZMİR,81477,SAY
İSTANBUL MEDENİYET ÜNİVERSİTESİ Eğitim Bilimleri Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),İSTANBUL,81495,SAY
GAZİ ÜNİVERSİTESİ Mühendislik Fakültesi  ,Kimya Mühendisliği (İngilizce) (4 Yıllık),ANKARA,81836,SAY
ADIYAMAN ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),ADIYAMAN,82013,SAY
İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ Mimarlık Fakültesi  ,Mimarlık (İngilizce) (4 Yıllık),İZMİR,82068,SAY
KARADENİZ TEKNİK ÜNİVERSİTESİ Of Teknoloji Fakültesi  ,Yazılım Mühendisliği (4 Yıllık),TRABZON,82315,SAY
SELÇUK ÜNİVERSİTESİ Veteriner Fakültesi  ,Veterinerlik (5 Yıllık),KONYA,83068,SAY
SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ Teknoloji Fakültesi  ,Bilgisayar Mühendisliği (4 Yıllık),SAKARYA,83490,SAY
İZMİR DEMOKRASİ ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),İZMİR,83496,SAY
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),ANTALYA,83917,SAY
TRABZON ÜNİVERSİTESİ Fatih Eğitim Fakültesi  ,Matematik Öğretmenliği (4 Yıllık),TRABZON,83984,SAY
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),BOLU,84186,SAY
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (4 Yıllık),BOLU,84230,SAY
İZMİR BAKIRÇAY ÜNİVERSİTESİ Sağlık Bilimleri Fakültesi  ,Dil ve Konuşma Terapisi (Fakülte) (4 Yıllık),İZMİR,84544,SAY
EGE ÜNİVERSİTESİ Sağlık Bilimleri Fakültesi  ,Beslenme ve Diyetetik (Fakülte) (4 Yıllık),İZMİR,84685,SAY
MARMARA ÜNİVERSİTESİ Mühendislik Fakültesi  ,Metalurji ve Malzeme Mühendisliği (İngilizce) (4 Yıllık),İSTANBUL,85332,SAY
HARRAN ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),ŞANLIURFA,85964,SAY
SAKARYA ÜNİVERSİTESİ Mühendislik Fakültesi  ,Endüstri Mühendisliği (4 Yıllık),SAKARYA,86515,SAY
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),NEVŞEHİR,86984,SAY
ANKARA ÜNİVERSİTESİ Hemşirelik Fakültesi  ,Hemşirelik (Fakülte) (4 Yıllık),ANKARA,87196,SAY
SELÇUK ÜNİVERSİTESİ Teknoloji Fakültesi  ,Bilgisayar Mühendisliği (4 Yıllık),KONYA,87338,SAY
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ Rafet Kayış Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (İngilizce) (4 Yıllık),ANTALYA,87491,SAY
ABDULLAH GÜL ÜNİVERSİTESİ Mühendislik Fakültesi  ,Endüstri Mühendisliği (İngilizce) (4 Yıllık),KAYSERİ,88458,SAY
DOKUZ EYLÜL ÜNİVERSİTESİ Mimarlık Fakültesi  ,Mimarlık (4 Yıllık),İZMİR,88749,SAY
ORTA DOĞU TEKNİK ÜNİVERSİTESİ Eğitim Fakültesi  ,Kimya Öğretmenliği (İngilizce) (4 Yıllık),ANKARA,88815,SAY
BURSA ULUDAĞ ÜNİVERSİTESİ Mühendislik Fakültesi  ,Makine Mühendisliği (4 Yıllık),BURSA,88932,SAY
KIRIKKALE ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),KIRIKKALE,88983,SAY
AFYON KOCATEPE ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),AFYONKARAHİSAR,89144,SAY
BURSA TEKNİK ÜNİVERSİTESİ Mühendislik ve Doğa Bilimleri Fakültesi  ,Elektrik-Elektronik Mühendisliği (4 Yıllık),BURSA,89297,SAY
KOCAELİ ÜNİVERSİTESİ Mühendislik Fakültesi  ,Mekatronik Mühendisliği (4 Yıllık),KOCAELİ,89315,SAY
SİVAS CUMHURİYET ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),SİVAS,89510,SAY
TRABZON ÜNİVERSİTESİ Fatih Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),TRABZON,89736,SAY
SAKARYA ÜNİVERSİTESİ Eğitim Fakültesi (Hendek)  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),SAKARYA,89884,SAY
BALIKESİR ÜNİVERSİTESİ Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (4 Yıllık),BALIKESİR,90027,SAY
NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),NİĞDE,90087,SAY
YILDIZ TEKNİK ÜNİVERSİTESİ Gemi İnşaatı ve Denizcilik Fakültesi  ,Gemi Makineleri İşletme Mühendisliği (4 Yıllık),İSTANBUL,90209,SAY
YILDIZ TEKNİK ÜNİVERSİTESİ Kimya-Metalurji Fakültesi  ,Biyomühendislik (4 Yıllık),İSTANBUL,90344,SAY
ESKİŞEHİR TEKNİK ÜNİVERSİTESİ Havacılık ve Uzay Bilimleri Fakültesi  ,Havacılık Elektrik ve Elektroniği (Fakülte) (4 Yıllık),ESKİŞEHİR,90485,SAY
İSTANBUL TEKNİK ÜNİVERSİTESİ Maden Fakültesi  ,Petrol ve Doğalgaz Mühendisliği (İngilizce) (4 Yıllık),İSTANBUL,90761,SAY
ATATÜRK ÜNİVERSİTESİ Kazım Karabekir Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),ERZURUM,90769,SAY
HACETTEPE ÜNİVERSİTESİ Fizik Tedavi ve Rehabilitasyon Fakültesi  ,Fizyoterapi ve Rehabilitasyon (Fakülte) (4 Yıllık),ANKARA,90773,SAY
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA Mühendislik Fakültesi  ,Kimya Mühendisliği (4 Yıllık),İSTANBUL,90880,SAY
İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ Mühendislik Fakültesi  ,Enerji Sistemleri Mühendisliği (İngilizce) (4 Yıllık),İZMİR,91121,SAY
ORTA DOĞU TEKNİK ÜNİVERSİTESİ Mimarlık Fakültesi  ,Şehir ve Bölge Planlama (İngilizce) (4 Yıllık),ANKARA,91334,SAY
GEBZE TEKNİK ÜNİVERSİTESİ Mühendislik Fakültesi  ,Kimya Mühendisliği (İngilizce) (4 Yıllık),KOCAELİ,91484,SAY
ORTA DOĞU TEKNİK ÜNİVERSİTESİ Eğitim Fakültesi  ,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği (İngilizce) (4 Yıllık),ANKARA,91656,SAY
ANKARA ÜNİVERSİTESİ Sağlık Bilimleri Fakültesi  ,Beslenme ve Diyetetik (Fakülte) (4 Yıllık),ANKARA,91761,SAY
ESKİŞEHİR TEKNİK ÜNİVERSİTESİ Mühendislik Fakültesi  ,Makine Mühendisliği (4 Yıllık),ESKİŞEHİR,91910,SAY
HACETTEPE ÜNİVERSİTESİ Mühendislik Fakültesi  ,İnşaat Mühendisliği (İngilizce) (4 Yıllık),ANKARA,92077,SAY
SAMSUN ÜNİVERSİTESİ Mühendislik Fakültesi  ,Yazılım Mühendisliği (4 Yıllık),SAMSUN,92392,SAY
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA Florence Nightingale Hemşirelik Fakültesi  ,Hemşirelik (Fakülte) (4 Yıllık),İSTANBUL,92467,SAY
UŞAK ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),UŞAK,92492,SAY
BOĞAZİÇİ ÜNİVERSİTESİ Eğitim Fakültesi  ,Fen Bilgisi Öğretmenliği (İngilizce) (4 Yıllık),İSTANBUL,92521,SAY
ERCİYES ÜNİVERSİTESİ Veteriner Fakültesi  ,Veterinerlik (5 Yıllık),KAYSERİ,92918,SAY
BURSA TEKNİK ÜNİVERSİTESİ Mühendislik ve Doğa Bilimleri Fakültesi  ,Endüstri Mühendisliği (4 Yıllık),BURSA,93216,SAY
ATATÜRK ÜNİVERSİTESİ Kazım Karabekir Eğitim Fakültesi  ,Matematik Öğretmenliği (4 Yıllık),ERZURUM,93322,SAY
SÜLEYMAN DEMİREL ÜNİVERSİTESİ Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (4 Yıllık),ISPARTA,93618,SAY
KOCAELİ ÜNİVERSİTESİ Mühendislik Fakültesi  ,Elektronik ve Haberleşme Mühendisliği (4 Yıllık),KOCAELİ,94021,SAY
MARMARA ÜNİVERSİTESİ Mühendislik Fakültesi  ,Biyomühendislik (İngilizce) (4 Yıllık),İSTANBUL,94183,SAY
MARMARA ÜNİVERSİTESİ Sağlık Bilimleri Fakültesi  ,Beslenme ve Diyetetik (Fakülte) (4 Yıllık),İSTANBUL,94193,SAY
MANİSA CELÂL BAYAR ÜNİVERSİTESİ Eğitim Fakültesi (Demirci)  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),MANİSA,94230,SAY
MANİSA CELÂL BAYAR ÜNİVERSİTESİ Hasan Ferdi Turgutlu Teknoloji Fakültesi  ,Yazılım Mühendisliği (İÖ) (4 Yıllık),MANİSA,94274,SAY
İSTANBUL TEKNİK ÜNİVERSİTESİ Denizcilik Fakültesi  ,Gemi Makineleri İşletme Mühendisliği (İngilizce) (UOLP-SUNY Maritime) (%50 İndirimli) (4 Yıllık),İSTANBUL,94535,SAY
BURSA ULUDAĞ ÜNİVERSİTESİ Mühendislik Fakültesi  ,Elektrik-Elektronik Mühendisliği (İÖ) (4 Yıllık),BURSA,95135,SAY
TRAKYA ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),EDİRNE,95315,SAY
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),BURDUR,95632,SAY
AKSARAY ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),AKSARAY,95888,SAY
DOKUZ EYLÜL ÜNİVERSİTESİ Veteriner Fakültesi (Kiraz)  ,Veterinerlik (Kiraz) (5 Yıllık),İZMİR,95955,SAY
TRAKYA ÜNİVERSİTESİ Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (4 Yıllık),EDİRNE,95977,SAY
NECMETTİN ERBAKAN ÜNİVERSİTESİ Ereğli Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),KONYA,96006,SAY
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ Milas Veteriner Fakültesi  ,Veterinerlik (5 Yıllık),MUĞLA,96173,SAY
İSTANBUL TEKNİK ÜNİVERSİTESİ Uçak ve Uzay Bilimleri Fakültesi  ,Meteoroloji Mühendisliği (4 Yıllık),İSTANBUL,96225,SAY
ORDU ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),ORDU,96497,SAY
YALOVA ÜNİVERSİTESİ Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (4 Yıllık),YALOVA,97082,SAY
MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ Mimarlık Fakültesi  ,Endüstriyel Tasarım (Fakülte) (4 Yıllık),İSTANBUL,97098,SAY
TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ Veteriner Fakültesi  ,Veterinerlik (5 Yıllık),TEKİRDAĞ,97238,SAY
KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),KIRŞEHİR,97670,SAY
AMASYA ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),AMASYA,97680,SAY
KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),KÜTAHYA,97704,SAY
HACETTEPE ÜNİVERSİTESİ Mühendislik Fakültesi  ,Nükleer Enerji Mühendisliği (İngilizce) (4 Yıllık),ANKARA,97747,SAY
MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ Mimarlık Fakültesi  ,İç Mimarlık (4 Yıllık),İSTANBUL,97817,SAY
ANKARA ÜNİVERSİTESİ Mühendislik Fakültesi  ,Kimya Mühendisliği (İngilizce) (4 Yıllık),ANKARA,97856,SAY
GAZİANTEP ÜNİVERSİTESİ Nizip Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),GAZİANTEP,97955,SAY
ORTA DOĞU TEKNİK ÜNİVERSİTESİ ODTÜ Kuzey Kıbrıs Kampusu (KKTC-Güzelyurt)  ,Kimya Mühendisliği (İngilizce) (Burslu) (4 Yıllık),ANKARA,98147,SAY
KARABÜK ÜNİVERSİTESİ Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (İngilizce) (4 Yıllık),KARABÜK,98211,SAY
İSTANBUL MEDENİYET ÜNİVERSİTESİ Mühendislik ve Doğa Bilimleri Fakültesi  ,Moleküler Biyoloji ve Genetik (İngilizce) (4 Yıllık),İSTANBUL,98380,SAY
DÜZCE ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),DÜZCE,98451,SAY
KONYA TEKNİK ÜNİVERSİTESİ Mühendislik ve Doğa Bilimleri Fakültesi  ,Yazılım Mühendisliği (4 Yıllık),KONYA,98525,SAY
KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ Sağlık Bilimleri Fakültesi  ,Dil ve Konuşma Terapisi (Fakülte) (4 Yıllık),KÜTAHYA,98759,SAY
ANKARA ÜNİVERSİTESİ Mühendislik Fakültesi  ,Biyomedikal Mühendisliği (İngilizce) (4 Yıllık),ANKARA,98785,SAY
KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),KARAMAN,99062,SAY
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ Sağlık Bilimleri Fakültesi  ,Dil ve Konuşma Terapisi (Fakülte) (4 Yıllık),MUĞLA,99253,SAY
GEBZE TEKNİK ÜNİVERSİTESİ Mühendislik Fakültesi  ,Biyomühendislik (İngilizce) (4 Yıllık),KOCAELİ,99651,SAY
DOKUZ EYLÜL ÜNİVERSİTESİ Denizcilik Fakültesi  ,Gemi Makineleri İşletme Mühendisliği (İngilizce) (4 Yıllık),İZMİR,99731,SAY
TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),TOKAT,99757,SAY
YILDIZ TEKNİK ÜNİVERSİTESİ Fen-Edebiyat Fakültesi  ,Kimya (İngilizce) (4 Yıllık),İSTANBUL,99871,SAY
MERSİN ÜNİVERSİTESİ Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (4 Yıllık),MERSİN,99954,SAY
EGE ÜNİVERSİTESİ Mühendislik Fakültesi  ,Biyomühendislik (4 Yıllık),İZMİR,100017,SAY
KOCAELİ ÜNİVERSİTESİ Havacılık ve Uzay Bilimleri Fakültesi  ,Uçak Gövde ve Motor Bakımı (Fakülte) (4 Yıllık),KOCAELİ,100181,SAY
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ Veteriner Fakültesi  ,Veterinerlik (5 Yıllık),BURDUR,100730,SAY
YILDIZ TEKNİK ÜNİVERSİTESİ Fen-Edebiyat Fakültesi  ,Matematik (4 Yıllık),İSTANBUL,101109,SAY
ATATÜRK ÜNİVERSİTESİ Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (İngilizce) (4 Yıllık),ERZURUM,101170,SAY
ESKİŞEHİR TEKNİK ÜNİVERSİTESİ Mimarlık ve Tasarım Fakültesi  ,Mimarlık (4 Yıllık),ESKİŞEHİR,101284,SAY
AFYON KOCATEPE ÜNİVERSİTESİ Veteriner Fakültesi  ,Veterinerlik (5 Yıllık),AFYONKARAHİSAR,101414,SAY
ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ Ereğli Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),ZONGULDAK,101546,SAY
GAZİ ÜNİVERSİTESİ Sağlık Bilimleri Fakültesi  ,Hemşirelik (Fakülte) (4 Yıllık),ANKARA,101780,SAY
DİCLE ÜNİVERSİTESİ Diyarbakır Atatürk Sağlık Yüksekokulu  ,Hemşirelik (Yüksekokul) (4 Yıllık),DİYARBAKIR,101809,SAY
İSTANBUL TEKNİK ÜNİVERSİTESİ İnşaat Fakültesi  ,Geomatik Mühendisliği (İngilizce) (4 Yıllık),İSTANBUL,102107,SAY
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ Mühendislik ve Doğa Bilimleri Fakültesi  ,Bilgisayar Mühendisliği (İngilizce) (4 Yıllık),BALIKESİR,102142,SAY
SİİRT ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),SİİRT,102171,SAY
ORTA DOĞU TEKNİK ÜNİVERSİTESİ Eğitim Fakültesi  ,Fen Bilgisi Öğretmenliği (İngilizce) (4 Yıllık),ANKARA,102340,SAY
GAZİ ÜNİVERSİTESİ Sağlık Bilimleri Fakültesi  ,Beslenme ve Diyetetik (Fakülte) (4 Yıllık),ANKARA,103262,SAY
DOKUZ EYLÜL ÜNİVERSİTESİ Denizcilik Fakültesi  ,Deniz Ulaştırma İşletme Mühendisliği (Fakülte) (İngilizce) (4 Yıllık),İZMİR,103504,SAY
ÇUKUROVA ÜNİVERSİTESİ Mühendislik Fakültesi  ,Elektrik-Elektronik Mühendisliği (İngilizce) (İÖ) (4 Yıllık),ADANA,103526,SAY
YILDIZ TEKNİK ÜNİVERSİTESİ İnşaat Fakültesi  ,İnşaat Mühendisliği (4 Yıllık),İSTANBUL,103582,SAY
KASTAMONU ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),KASTAMONU,103822,SAY
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ Mimarlık ve Güzel Sanatlar Fakültesi  ,Mimarlık (İngilizce) (4 Yıllık),ANKARA,103971,SAY
KARADENİZ TEKNİK ÜNİVERSİTESİ Mühendislik Fakültesi  ,Elektrik-Elektronik Mühendisliği (4 Yıllık),TRABZON,103980,SAY
EGE ÜNİVERSİTESİ Fen Fakültesi  ,Biyokimya (KKTC Uyruklu) (4 Yıllık),İZMİR,104074,SAY
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ Mühendislik Fakültesi  ,Elektrik-Elektronik Mühendisliği (İngilizce) (4 Yıllık),MUĞLA,104094,SAY
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ Mühendislik Fakültesi  ,Yazılım Mühendisliği (İngilizce) (4 Yıllık),ADANA,104346,SAY
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ Mühendislik ve Doğa Bilimleri Fakültesi  ,Yazılım Mühendisliği (4 Yıllık),BALIKESİR,104802,SAY
KIRIKKALE ÜNİVERSİTESİ Veteriner Fakültesi  ,Veterinerlik (5 Yıllık),KIRIKKALE,104861,SAY
YOZGAT BOZOK ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),YOZGAT,104883,SAY
ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),ERZİNCAN,104928,SAY
ANKARA ÜNİVERSİTESİ Fen Fakültesi  ,Biyoloji (İngilizce) (4 Yıllık),ANKARA,104929,SAY
DİCLE ÜNİVERSİTESİ Ziya Gökalp Eğitim Fakültesi  ,Matematik Öğretmenliği (4 Yıllık),DİYARBAKIR,104954,SAY
SİNOP ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),SİNOP,105158,SAY
DÜZCE ÜNİVERSİTESİ Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (İngilizce) (4 Yıllık),DÜZCE,105215,SAY
KİLİS 7 ARALIK ÜNİVERSİTESİ Muallim Rıfat Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),KİLİS,105304,SAY
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ Mühendislik-Mimarlık Fakültesi  ,Makine Mühendisliği (4 Yıllık),ESKİŞEHİR,105375,SAY
MARMARA ÜNİVERSİTESİ Teknoloji Fakültesi  ,Metalurji ve Malzeme Mühendisliği (4 Yıllık),İSTANBUL,105910,SAY
GİRESUN ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),GİRESUN,106048,SAY
BARTIN ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),BARTIN,106787,SAY
EGE ÜNİVERSİTESİ Hemşirelik Fakültesi  ,Hemşirelik (Fakülte) (4 Yıllık),İZMİR,106846,SAY
RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ Eğitim Fakültesi (Çayeli)  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),RİZE,107316,SAY
AKDENİZ ÜNİVERSİTESİ Mühendislik Fakültesi  ,Elektrik-Elektronik Mühendisliği (İÖ) (4 Yıllık),ANTALYA,107429,SAY
BURSA ULUDAĞ ÜNİVERSİTESİ Mimarlık Fakültesi  ,Mimarlık (4 Yıllık),BURSA,107847,SAY
HACETTEPE ÜNİVERSİTESİ Fen Fakültesi  ,Matematik (4 Yıllık),ANKARA,107878,SAY
ERCİYES ÜNİVERSİTESİ Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (İÖ) (4 Yıllık),KAYSERİ,108077,SAY
KONYA TEKNİK ÜNİVERSİTESİ Mühendislik ve Doğa Bilimleri Fakültesi  ,Bilgisayar Mühendisliği (İÖ) (4 Yıllık),KONYA,108131,SAY
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (İngilizce) (4 Yıllık),ADANA,108616,SAY
MUŞ ALPARSLAN ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),MUŞ,109022,SAY
ARTVİN ÇORUH ÜNİVERSİTESİ Eğitim Fakültesi  ,İlköğretim Matematik Öğretmenliği (4 Yıllık),ARTVİN,110202,SAY
KOCAELİ ÜNİVERSİTESİ Mühendislik Fakültesi  ,Makine Mühendisliği (4 Yıllık),KOCAELİ,111064,SAY
ÇUKUROVA ÜNİVERSİTESİ Ceyhan Veteriner Fakültesi  ,Veterinerlik (5 Yıllık),ADANA,111073,SAY
İSTANBUL TEKNİK ÜNİVERSİTESİ Maden Fakültesi  ,Maden Mühendisliği (4 Yıllık),İSTANBUL,111098,SAY
